"Abnormality NEC","Blood","Circulatory","Congenital","Digestive","Ear","Endocrine/metabolic","External","Eye","Genitourinary","Infectious disease","Mental/behavioural","Musculoskeletal","Neoplasm","Nervous system","Not recorded","Obstetric/puerperium","Other","Perinatal","Respiratory","Skin","Died of Abnormality NEC","Died of Blood","Died of Circulatory","Died of Congenital","Died of Digestive","Died of Ear","Died of Endocrine/metabolic","Died of External","Died of Eye","Died of Genitourinary","Died of Infectious disease","Died of Mental/behavioural","Died of Musculoskeletal","Died of Neoplasm","Died of Nervous system","Died of Obstetric/puerperium","Died of Perinatal","Died of Respiratory","Died of Skin","Died of unrecorded"
"v3_Male_q12",746,43,392,0,317,5,102,446,7,248,169,109,93,115,93,72,0,33,0,707,88,5,0,111,0,13,0,10,13,0,10,0,38,0,87,28,0,0,54,0,0
"v4_Male_q12",919,56,526,0,391,7,119,575,6,329,206,159,132,192,109,97,0,34,0,926,123,8,0,156,0,16,0,17,11,0,10,5,86,0,120,84,0,0,59,0,7
"v3_Male_q13",368,18,197,0,189,0,72,226,5,160,102,74,66,70,43,43,0,9,0,398,56,0,0,44,0,7,0,9,8,0,0,0,15,0,53,18,0,0,18,0,0
"v4_Male_q13",680,37,400,0,286,0,102,416,7,259,123,121,100,151,83,72,0,32,0,698,90,5,0,115,0,10,0,8,11,0,6,0,74,0,94,59,0,0,51,0,7
"v3_Male_q14",507,23,232,0,246,0,72,283,0,172,119,113,70,79,51,40,0,19,0,486,65,0,0,53,0,6,0,12,7,0,5,0,24,0,50,15,0,0,19,0,0
"v4_Male_q14",543,26,330,0,241,5,91,376,7,253,124,94,85,153,53,51,0,21,0,600,68,7,0,109,0,15,0,11,10,0,6,0,53,0,102,45,0,0,46,0,0
"v3_Male_q15",279,18,136,0,134,0,41,162,0,99,63,74,39,36,36,30,0,11,0,279,53,0,0,30,0,5,0,0,0,0,0,0,12,0,32,10,0,0,10,0,0
"v4_Male_q15",400,26,213,0,188,0,52,246,0,156,92,71,68,129,41,30,0,19,0,454,43,0,0,76,0,11,0,12,8,0,10,0,25,0,95,17,0,0,31,0,0
"v3_Male_q16",331,16,124,0,135,0,45,161,0,97,51,90,48,39,41,28,0,8,0,264,34,0,0,29,0,7,0,0,5,0,7,0,8,0,18,6,0,0,19,0,0
"v4_Male_q16",373,28,173,0,200,0,63,218,0,161,75,92,57,127,49,39,0,15,0,421,52,0,0,53,0,11,0,7,0,0,7,0,18,0,116,12,0,0,24,0,0
"v3_Male_q17",230,6,90,0,128,0,53,147,0,79,40,99,28,15,32,25,0,7,0,217,32,0,0,20,0,0,0,6,5,0,0,0,10,0,15,0,0,0,12,0,0
"v4_Male_q17",305,22,137,0,134,0,44,150,0,135,71,79,36,93,33,30,0,10,0,314,53,0,0,46,0,0,0,6,6,0,5,0,19,0,69,9,0,0,27,0,0
"v3_Male_q18",82,5,32,0,41,0,16,62,0,26,14,29,9,6,13,10,0,0,0,84,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Male_q18",296,16,124,0,142,0,54,146,0,93,65,82,47,78,23,37,0,13,0,317,30,0,0,52,0,7,0,0,0,0,8,0,10,0,85,0,0,0,27,0,0
"v3_Male_q19",47,0,5,0,28,0,9,19,0,15,7,8,9,6,5,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Male_q19",108,9,48,0,63,0,26,72,0,37,21,40,11,34,18,10,0,0,0,129,7,0,0,13,0,5,0,0,0,0,0,0,0,0,24,0,0,0,11,0,0
"v3_Male_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Male_q20",102,0,31,0,55,0,17,44,0,19,12,29,7,7,6,9,0,0,0,98,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Female_q1",7981,284,1710,22,3965,177,370,6532,218,2789,2446,363,1252,675,835,797,1237,245,0,3055,1066,12,0,110,0,11,0,8,63,0,0,6,8,0,37,7,0,0,9,0,9
"v4_Female_q1",8441,308,1850,24,4300,191,366,6662,227,2835,2350,360,1366,755,913,855,1333,234,0,3132,1141,13,0,124,0,16,0,6,70,0,0,6,0,0,27,5,0,0,10,0,7
"v3_Female_q2",9034,299,2584,29,4189,163,467,5520,150,2694,2293,454,1726,1005,1054,869,737,244,0,4051,1092,6,0,232,0,30,0,12,98,0,8,5,30,0,80,38,0,0,32,0,5
"v4_Female_q2",8313,252,2551,22,3830,162,416,5089,148,2462,2174,365,1638,822,942,738,586,223,0,3514,982,0,0,206,0,23,0,11,55,0,7,5,14,0,84,17,0,0,18,0,7
"v3_Female_q3",5982,224,2381,13,2728,126,485,3599,109,1691,1469,373,1211,754,669,494,219,137,0,3263,684,10,0,242,0,18,0,16,65,0,6,0,57,0,137,88,0,0,46,0,8
"v4_Female_q3",5113,176,1968,14,2247,101,354,3034,90,1490,1327,278,1029,538,566,422,203,124,0,2747,544,10,0,183,0,15,0,11,59,0,0,0,24,0,74,19,0,0,33,0,6
"v3_Female_q4",2892,133,1373,6,1313,51,269,1858,42,871,670,210,651,410,306,252,58,58,0,1743,306,7,5,188,0,9,0,14,21,0,0,0,61,0,120,83,0,0,50,0,8
"v4_Female_q4",3502,138,1587,0,1563,59,275,2148,53,999,770,230,740,376,386,315,100,78,0,1939,354,5,0,143,0,8,0,14,34,0,5,0,18,0,78,36,0,0,26,0,0
"v3_Female_q5",3000,128,1522,6,1305,41,275,2214,55,991,629,232,676,448,349,261,42,65,0,1881,294,18,0,272,0,19,0,10,20,0,15,6,163,5,160,141,0,0,77,0,5
"v4_Female_q5",2881,115,1345,0,1234,48,263,1925,47,831,584,228,636,358,336,220,71,59,0,1737,304,0,0,165,0,13,0,7,30,0,0,5,44,0,94,49,0,0,45,0,0
"v3_Female_q6",3027,127,1506,0,1247,42,229,2136,38,958,569,261,670,425,348,251,28,63,0,2048,302,40,0,365,0,20,0,18,27,0,23,11,325,11,210,229,0,0,116,6,7
"v4_Female_q6",2354,115,1072,5,1014,29,215,1613,28,741,506,194,498,324,256,194,33,46,0,1494,252,11,0,155,0,10,0,14,26,0,0,0,46,0,90,61,0,0,31,0,0
"v3_Female_q7",2160,113,1164,0,858,24,202,1473,27,696,434,194,412,288,199,158,23,34,0,1509,228,27,0,304,0,16,0,13,9,0,15,5,242,7,147,160,0,0,104,0,9
"v4_Female_q7",1898,88,950,0,818,29,159,1344,31,588,423,173,409,235,211,157,13,32,0,1266,185,7,0,162,0,8,0,0,15,0,14,0,107,0,65,96,0,0,50,0,6
"v3_Female_q8",1343,68,748,5,554,16,160,959,14,474,303,146,306,224,119,119,10,17,0,1148,157,19,0,213,0,14,0,13,7,0,16,9,155,8,114,121,0,0,82,0,0
"v4_Female_q8",1661,80,830,0,631,21,187,1273,18,584,340,180,368,223,167,151,10,23,0,1317,177,8,0,193,0,12,0,8,15,0,11,0,133,0,86,128,0,0,64,0,5
