"Abnormality NEC","Blood","Circulatory","Congenital","Digestive","Ear","Endocrine/metabolic","External","Eye","Genitourinary","Infectious disease","Mental/behavioural","Musculoskeletal","Neoplasm","Nervous system","Not recorded","Obstetric/puerperium","Other","Perinatal","Respiratory","Skin","Died of Abnormality NEC","Died of Blood","Died of Circulatory","Died of Congenital","Died of Digestive","Died of Ear","Died of Endocrine/metabolic","Died of External","Died of Eye","Died of Genitourinary","Died of Infectious disease","Died of Mental/behavioural","Died of Musculoskeletal","Died of Neoplasm","Died of Nervous system","Died of Obstetric/puerperium","Died of Perinatal","Died of Respiratory","Died of Skin","Died of unrecorded"
"v4_U25_q17",30,6,0,0,8,0,19,16,0,9,16,0,0,0,10,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_U25_q18",13,0,0,0,8,0,5,6,0,0,0,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_U25_q18",34,0,0,0,9,0,18,14,0,7,14,0,0,8,10,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_U25_q19",12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_U25_q19",20,0,0,0,7,0,8,10,0,0,7,0,0,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_U25_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_U25_q20",17,0,0,0,5,0,10,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q1",11136,347,3624,67,6301,272,561,12238,326,3690,3549,736,1936,449,1168,1170,1031,360,0,4423,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q1",11188,341,3463,62,6401,268,531,11952,325,3654,3314,649,2033,463,1206,1139,1097,335,0,4362,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q2",12202,312,4447,47,6065,267,736,9233,250,3431,3277,842,2476,410,1411,1176,647,329,0,5215,1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q2",11577,289,4586,45,5811,284,630,8796,256,3205,3204,673,2324,339,1321,1082,528,300,0,4784,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q3",7747,220,3255,25,3692,196,619,4947,159,1941,2298,523,1517,245,876,652,199,214,0,4067,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q3",6946,183,2873,23,3137,152,479,4432,139,1799,2120,482,1328,186,746,579,183,186,0,3568,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q4",3296,95,1507,12,1580,51,279,1990,60,812,854,246,715,95,365,305,54,66,0,1764,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q4",4272,122,1823,18,2001,85,361,2691,74,1026,1088,339,893,93,486,404,94,99,0,2205,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q5",3152,78,1333,13,1358,52,277,1846,65,800,705,251,661,70,341,299,40,79,0,1563,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q5",3182,76,1362,7,1457,54,282,1920,50,804,757,268,650,81,367,280,68,78,0,1703,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q6",2740,72,1118,5,1183,50,211,1469,36,694,569,226,549,83,317,218,24,60,0,1430,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q6",2502,68,941,6,1079,34,211,1324,32,616,552,194,463,69,261,209,30,56,0,1240,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q7",1713,39,718,0,740,27,159,910,19,452,353,168,281,38,180,134,21,32,0,928,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q7",1710,43,682,0,742,31,183,939,21,415,398,171,338,42,192,157,12,43,0,944,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q8",1036,30,438,7,453,17,117,582,8,258,221,105,233,25,115,90,8,15,0,619,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q8",1405,44,548,5,572,26,154,837,19,396,302,190,267,35,150,133,9,27,0,806,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q9",1052,29,407,0,487,13,123,592,10,277,227,127,210,17,114,82,8,38,0,584,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q9",1119,28,445,6,538,15,147,688,11,302,253,148,256,44,139,102,6,42,0,717,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q10",862,29,295,0,363,16,108,470,6,220,183,106,175,25,96,70,0,20,0,486,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q10",882,36,307,0,412,18,104,535,9,259,194,138,174,27,102,84,0,28,0,532,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q11",700,22,242,0,303,13,77,376,9,158,128,95,150,13,78,61,0,15,0,415,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q11",679,22,219,0,312,7,103,431,5,191,130,107,137,25,98,49,0,21,0,453,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q12",715,24,207,0,324,7,103,376,6,163,139,81,127,15,96,47,0,24,0,406,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q12",724,19,233,0,328,8,103,368,6,161,148,106,131,21,66,78,0,28,0,431,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q13",394,0,92,0,173,0,58,153,0,101,74,66,72,0,39,39,0,6,0,243,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q13",473,13,155,0,187,0,76,236,9,130,88,98,84,21,64,35,0,11,0,295,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q14",480,11,105,0,206,7,68,232,5,110,75,73,68,10,47,45,0,12,0,271,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q14",352,13,99,0,178,0,66,210,5,91,75,62,69,20,36,36,0,12,0,237,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q15",274,12,57,0,136,0,45,132,0,66,55,48,41,6,28,24,0,11,0,151,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q15",290,11,61,0,120,0,36,143,0,68,60,41,50,10,39,28,0,5,0,148,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q16",309,6,59,0,128,0,38,142,0,69,53,71,40,0,35,24,0,0,0,169,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q16",243,8,51,0,123,5,53,122,0,70,40,51,36,11,27,21,0,10,0,160,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q17",217,7,38,0,109,0,37,117,0,57,29,82,30,0,38,15,0,10,0,142,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q17",191,10,47,0,82,0,34,87,0,53,39,55,15,8,21,21,0,8,0,132,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q18",78,0,11,0,35,0,11,55,0,16,15,25,13,0,13,11,0,0,0,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q18",213,7,31,0,88,0,37,96,0,51,29,64,34,11,22,13,0,6,0,121,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q19",38,0,0,0,19,0,0,26,0,12,0,5,6,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q19",97,0,24,0,48,0,23,42,0,21,9,24,5,0,10,9,0,0,0,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_White_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_White_q20",96,0,7,0,39,0,17,37,0,15,7,16,13,0,9,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q1",1958,73,636,10,1064,73,90,1899,59,634,811,108,357,91,206,289,169,75,0,894,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q1",2035,77,626,11,1114,71,87,1921,65,691,752,106,377,94,220,310,192,72,0,918,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q2",1406,60,496,6,656,24,68,877,31,382,569,52,263,41,147,196,67,67,0,785,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q2",1330,45,507,0,613,28,66,806,25,311,582,46,259,35,128,175,44,64,0,700,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q3",701,29,250,0,265,19,41,402,12,146,304,36,118,17,66,71,18,28,0,555,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q3",647,24,237,0,226,17,38,368,9,154,289,30,101,17,64,59,16,20,0,517,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q4",263,11,90,0,97,7,16,101,0,63,87,10,59,9,26,26,0,0,0,170,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q4",298,16,101,0,112,9,17,163,7,71,111,15,51,9,31,32,0,7,0,212,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q5",190,0,84,0,78,0,17,92,0,46,63,12,42,9,16,17,0,0,0,137,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q5",161,11,86,0,69,0,16,75,0,35,78,13,42,6,30,13,0,9,0,149,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q6",145,11,57,0,46,0,14,56,0,35,47,10,23,0,27,7,0,0,0,91,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q6",128,8,43,0,50,0,14,68,0,33,55,8,26,0,11,8,0,0,0,90,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q7",82,8,34,0,31,0,9,43,0,29,24,0,17,0,5,0,0,0,0,59,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q7",94,5,30,0,27,0,12,43,0,29,28,7,14,0,12,9,0,0,0,56,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q8",41,0,15,0,13,0,0,19,0,7,22,0,7,0,0,6,0,0,0,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q8",69,5,18,0,23,0,6,26,0,14,18,6,10,0,0,0,0,0,0,49,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q9",43,0,13,0,18,0,5,22,0,15,9,0,5,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q9",47,7,16,0,19,0,0,26,0,16,15,0,8,0,0,5,0,0,0,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q10",27,0,5,0,13,0,0,12,0,6,9,0,0,0,5,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q10",38,0,9,0,21,0,7,19,0,10,11,5,6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q11",16,0,5,0,13,0,5,15,0,7,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q11",27,0,10,0,10,0,0,17,0,0,11,0,0,0,6,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q12",23,0,0,0,15,0,0,6,0,0,5,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q12",21,0,0,0,14,0,0,5,0,0,6,0,7,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q13",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q13",16,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q14",16,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q14",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q15",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q15",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q16",6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q16",6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q17",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Nonwhite_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Nonwhite_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_Urban_q1",11670,386,3891,63,6548,302,597,12194,329,3803,3806,809,2014,1075,1241,1279,1007,374,0,4881,2052,32,0,354,0,32,0,25,220,0,0,9,22,0,62,19,0,0,31,0,18
"v4_Urban_q1",11728,382,3632,62,6594,297,569,11877,334,3809,3526,699,2089,1023,1259,1250,1085,345,0,4708,2086,27,0,302,0,25,0,23,208,0,0,8,13,0,43,10,0,0,24,0,14
"v3_Urban_q2",13067,434,5172,51,6537,265,849,9770,251,3692,3610,1013,2536,1576,1506,1272,626,358,0,6280,2046,26,0,587,0,69,0,32,297,0,10,13,59,0,133,75,0,0,76,0,20
"v4_Urban_q2",12153,371,5233,44,6147,280,702,9025,247,3341,3519,782,2393,1335,1380,1116,500,311,0,5504,1893,23,0,559,0,56,0,27,196,0,8,12,27,0,114,28,0,0,42,0,22
"v3_Urban_q3",9126,346,4493,27,4217,203,785,5900,160,2409,2588,756,1731,1235,1016,786,182,239,0,5518,1259,21,0,548,11,42,0,31,169,0,8,5,93,0,242,115,0,0,77,0,21
"v4_Urban_q3",7798,262,3748,23,3456,163,594,5059,138,2101,2332,628,1462,891,820,667,169,197,0,4545,991,20,0,422,5,28,0,24,152,0,5,0,42,0,127,31,0,0,56,0,15
"v3_Urban_q4",4413,194,2446,9,2000,65,426,2760,75,1227,1090,413,902,681,460,389,48,83,0,2835,561,14,5,337,0,22,0,18,61,0,0,0,82,5,186,113,0,0,68,0,18
"v4_Urban_q4",5302,221,2773,19,2383,88,463,3421,82,1384,1255,493,1056,684,578,475,85,125,0,3158,664,13,0,310,0,30,0,22,100,0,5,0,30,0,117,53,0,0,42,0,6
"v3_Urban_q5",4581,179,2574,12,1963,66,442,3146,81,1361,977,448,946,771,492,402,34,112,0,3036,508,27,0,434,0,35,0,23,51,0,21,5,197,0,268,179,0,0,115,0,7
"v4_Urban_q5",4296,179,2364,5,1956,67,428,2851,74,1175,968,430,852,581,488,358,61,107,0,2770,558,9,0,319,0,24,0,13,81,0,9,6,59,0,141,57,0,0,71,0,6
"v3_Urban_q6",4510,205,2477,9,1871,59,409,2960,56,1365,928,516,872,741,473,341,25,102,0,3221,498,43,0,529,0,34,0,29,58,0,26,11,357,10,315,253,0,0,158,5,10
"v4_Urban_q6",3636,156,1876,6,1549,48,373,2306,50,1035,803,371,694,531,381,295,26,74,0,2359,409,15,0,281,0,26,0,21,64,0,5,0,58,5,139,83,0,0,53,0,13
"v3_Urban_q7",3194,151,1830,0,1292,30,314,2053,32,975,660,363,523,492,296,236,19,57,0,2428,354,25,0,410,0,29,0,21,35,0,17,10,284,7,236,206,0,0,138,0,10
"v4_Urban_q7",2898,132,1562,5,1252,37,293,1892,36,845,611,352,541,389,316,244,10,68,0,2058,315,10,0,256,0,15,0,10,46,0,17,0,118,0,129,100,0,0,68,0,8
"v3_Urban_q8",2064,110,1214,8,888,22,237,1374,20,686,439,253,408,358,205,180,8,32,0,1762,253,20,0,296,0,29,0,18,21,0,17,9,196,8,182,142,0,0,119,0,7
"v4_Urban_q8",2558,117,1381,9,1027,31,286,1822,20,818,528,362,499,386,255,227,7,46,0,2038,293,8,0,286,0,23,0,16,34,0,10,5,149,6,126,148,0,0,84,0,8
"v3_Urban_q9",2269,97,1212,0,999,19,249,1499,15,840,476,295,465,352,233,159,6,61,0,1941,245,23,0,318,0,34,0,17,22,0,28,10,226,0,221,139,0,0,142,0,11
"v4_Urban_q9",2388,106,1340,5,1013,21,281,1659,26,794,509,354,460,403,250,202,6,57,0,2017,292,16,0,324,0,32,0,20,39,0,15,8,271,6,161,213,0,0,110,0,6
"v3_Urban_q10",1920,90,1045,0,776,29,227,1244,19,683,395,252,366,271,198,154,0,45,0,1716,198,16,0,275,0,19,0,21,23,0,14,6,178,7,196,117,0,0,112,0,11
"v4_Urban_q10",2000,109,1108,0,897,24,226,1381,16,720,423,315,375,335,209,166,0,53,0,1783,221,30,0,304,0,29,0,22,21,0,17,12,284,6,160,201,0,0,112,0,0
"v3_Urban_q11",1581,82,793,0,652,13,192,1015,18,544,306,217,281,232,149,130,0,34,0,1473,149,18,0,223,0,31,0,24,11,0,17,0,114,7,158,81,0,0,117,0,9
"v4_Urban_q11",1692,82,890,0,707,11,217,1272,9,641,324,252,304,324,192,131,0,50,0,1656,188,32,0,312,0,25,0,14,21,0,17,0,280,5,186,211,0,0,135,0,9
"v3_Urban_q12",1534,81,703,0,636,9,193,965,11,539,299,185,272,198,178,116,0,39,0,1477,161,10,0,230,0,19,0,22,18,0,18,0,98,7,149,65,0,0,105,0,9
"v4_Urban_q12",1867,105,924,6,747,13,236,1183,17,680,396,251,314,306,182,158,0,43,0,1793,210,25,0,338,0,29,0,31,16,0,25,11,288,12,222,201,0,0,164,0,9
"v3_Urban_q13",835,36,374,0,367,5,117,465,6,318,181,128,162,112,91,77,0,16,0,843,100,0,0,99,0,8,0,13,8,0,8,0,32,0,96,46,0,0,44,0,0
"v4_Urban_q13",1310,72,692,0,552,0,182,832,11,508,261,227,237,252,149,111,0,38,0,1357,161,25,0,252,0,21,0,17,12,0,16,7,173,6,166,134,0,0,116,0,14
"v3_Urban_q14",1024,41,434,0,469,7,157,566,7,355,213,157,167,138,91,83,0,26,0,1043,118,0,0,98,0,13,0,18,11,0,7,6,40,0,82,42,0,0,46,0,0
"v4_Urban_q14",1086,55,549,0,457,8,160,746,11,452,243,151,181,243,100,87,0,26,0,1198,121,16,0,199,0,23,0,24,13,0,13,7,113,0,182,80,0,0,101,0,13
"v3_Urban_q15",584,33,223,0,260,5,90,326,0,192,136,103,84,60,62,49,0,15,0,611,88,0,0,40,0,11,0,7,9,0,5,0,18,0,52,18,0,0,30,0,0
"v4_Urban_q15",760,45,365,0,330,0,93,492,5,321,181,118,134,199,82,70,0,24,0,855,82,8,0,126,0,17,0,14,10,0,12,5,43,0,149,27,0,0,91,0,9
"v3_Urban_q16",606,25,223,0,253,0,91,292,0,197,107,124,83,57,69,51,0,11,0,630,69,0,0,38,0,8,0,8,7,0,7,0,14,0,34,9,0,0,36,0,0
"v4_Urban_q16",697,36,307,0,333,5,131,375,0,288,148,126,112,203,70,72,0,21,0,849,97,0,0,106,0,18,0,9,5,0,17,0,31,0,176,23,0,0,56,0,0
"v3_Urban_q17",450,15,152,0,228,0,93,248,0,162,86,140,56,33,59,43,0,15,0,499,54,0,0,29,0,5,0,6,9,0,0,0,10,0,22,8,0,0,18,0,0
"v4_Urban_q17",549,43,230,0,229,0,98,289,6,238,130,108,79,135,55,48,0,16,0,638,81,0,0,69,0,6,0,12,7,0,8,0,26,0,135,16,0,0,43,0,0
"v3_Urban_q18",158,9,43,0,72,0,32,103,0,41,30,48,22,16,22,20,0,0,0,164,25,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"v4_Urban_q18",534,23,203,0,248,0,94,253,0,161,117,122,77,109,41,55,0,17,0,636,55,0,0,61,0,9,0,9,6,0,9,0,13,0,123,7,0,0,38,0,0
"v3_Urban_q19",80,0,15,0,40,0,12,46,0,23,14,12,15,6,9,0,0,0,0,72,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Urban_q19",229,13,90,0,109,0,48,121,0,64,47,54,27,60,28,22,0,0,0,306,19,0,0,18,0,7,0,0,0,0,0,0,0,0,37,0,0,0,22,0,0
"v3_Urban_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Urban_q20",186,6,47,0,83,0,38,70,0,37,20,37,19,15,15,17,0,0,0,202,15,0,0,8,0,5,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0
"v3_Rural_q1",2334,85,981,17,1405,53,131,2801,79,793,770,158,423,275,257,315,229,93,0,977,402,0,0,82,0,7,0,6,49,0,0,0,6,0,26,0,0,0,8,0,7
"v4_Rural_q1",2321,83,937,13,1436,53,112,2738,79,784,746,137,438,269,265,324,247,93,0,981,411,0,0,63,0,9,0,0,48,0,0,0,0,0,15,0,0,0,0,0,8
"v3_Rural_q2",2287,79,1042,5,1175,46,153,1734,61,619,631,141,488,310,251,317,111,96,0,1141,322,0,0,120,0,0,0,8,46,0,0,0,8,0,41,16,0,0,18,0,8
"v4_Rural_q2",2192,76,1076,8,1119,47,148,1737,60,576,581,125,458,262,234,279,86,87,0,961,293,0,0,120,0,0,0,10,30,0,0,0,6,0,42,5,0,0,13,0,6
"v3_Rural_q3",1508,68,905,5,775,34,148,1080,40,390,437,111,304,280,197,183,37,57,0,919,197,0,0,119,0,9,0,12,17,0,0,0,23,0,62,35,0,0,20,0,6
"v4_Rural_q3",1303,50,726,5,651,26,99,875,36,324,385,97,262,196,169,155,34,51,0,775,153,0,0,77,0,5,0,11,25,0,0,0,10,0,38,9,0,0,14,0,0
"v3_Rural_q4",764,33,498,0,396,16,72,517,15,232,174,58,156,151,87,94,10,26,0,511,72,0,0,72,0,0,0,6,10,0,0,0,16,0,46,22,0,0,20,0,0
"v4_Rural_q4",871,31,563,0,422,23,89,560,20,228,194,65,180,119,107,111,15,22,0,508,87,0,0,65,0,0,0,6,12,0,0,0,5,0,33,8,0,0,14,0,0
"v3_Rural_q5",774,31,530,0,358,8,79,514,11,235,173,69,174,160,95,88,8,26,0,515,73,0,0,115,0,0,0,5,7,0,0,0,41,0,49,32,0,0,23,0,0
"v4_Rural_q5",675,21,473,0,313,5,74,476,6,218,153,62,163,124,76,72,10,25,0,461,79,0,0,85,0,0,0,0,6,0,0,0,17,0,30,18,0,0,10,0,0
"v3_Rural_q6",733,29,477,0,328,10,71,519,11,252,120,74,180,138,91,74,0,23,0,544,72,11,0,119,0,0,0,12,6,0,6,0,74,5,74,42,0,0,36,0,0
"v4_Rural_q6",555,35,343,0,259,5,54,386,6,174,126,42,122,111,73,62,7,23,0,406,60,0,0,70,0,0,0,6,8,0,0,0,14,0,31,15,0,0,15,0,0
"v3_Rural_q7",513,30,346,0,240,5,46,340,7,184,96,44,107,99,55,45,0,21,0,367,50,11,0,80,0,0,0,0,0,0,0,0,46,0,35,36,0,0,31,0,0
"v4_Rural_q7",454,20,315,0,206,8,50,307,12,150,96,47,99,94,49,44,0,15,0,319,52,0,0,54,0,0,0,0,0,0,0,0,29,0,22,30,0,0,17,0,0
"v3_Rural_q8",297,18,220,0,125,0,40,213,0,112,56,32,73,60,29,31,0,10,0,248,42,0,0,58,0,0,0,0,0,0,0,0,24,0,30,16,0,0,11,0,0
"v4_Rural_q8",396,14,267,0,179,7,43,261,5,143,83,51,78,79,37,45,0,12,0,331,44,0,0,56,0,0,0,0,5,0,0,0,37,0,28,19,0,0,23,0,0
